

Profile Data: all times in seconds, memory usage in kilobytes.
Begin: 3. toukota 2018 18:42:10.
End: 4. toukota 2018 09:44:49.
	VI Time	Sub VIs Time	Total Time	# Runs	Average	Shortest	Longest	Diagram	Display	Draw	Tracking	Locals	Avg Bytes	Min Bytes	Max Bytes	Avg Blocks	Min Blocks	Max Blocks	Project Library	Application Instance
Error Cluster From Error Code.vi	0,0000	0,0000	0,0000	1	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	3,81k	3,81k	3,81k	14	14	14		My Computer
Error Code Database.vi	0,0000	0,0000	0,0000	1	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	3,39k	3,39k	3,39k	2	2	2		My Computer
FL_Calculate_Coordinates.vi	0,0000	0,0000	0,0000	1746177	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	6,25k	6,25k	6,25k	0	0	0		My Computer
FL_Calculate_phi_theta_etc.vi	0,0000	0,0000	0,0000	1746177	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	8,80k	8,80k	8,80k	1	1	1		My Computer
FL_DEC_split_and_filter.vi	0,0000	0,0000	0,0000	1746177	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	4,43k	4,43k	4,43k	0	0	0		My Computer
-->FL_Filter_data_for_online_display.vi	0,0000	0,0000	0,0000	1746177	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	5,41k	5,41k	5,41k	1	1	1		My Computer
FL_Decode_RAW_to_DEC_last_out.vi	0,0000	0,0000	0,0000	1746177	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	8,37k	8,02k	8,46k	7	7	15		My Computer
Find Tag.vi	0,0000	0,0000	0,0000	1	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	8,05k	8,05k	8,05k	4	4	4		My Computer
-->Search and Replace Pattern.vi	0,0000	0,0000	0,0000	4	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	5,39k	5,35k	5,50k	2	2	2		My Computer
Format Message String.vi	0,0000	0,0000	0,0000	1	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	8,33k	8,33k	8,33k	21	21	21		My Computer
-->Find Tag.vi	0,0000	0,0000	0,0000	1	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	8,05k	8,05k	8,05k	4	4	4		My Computer
-->Set Bold Text.vi	0,0000	0,0000	0,0000	1	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	6,62k	6,62k	6,62k	1	1	1		My Computer
General Error Handler Core CORE.vi	0,0000	0,0000	0,0000	1	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	40,53k	40,53k	40,53k	62	62	62		My Computer
-->Check Special Tags.vi	0,0000	0,0000	0,0000	1	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	4,29k	4,29k	4,29k	5	5	5		My Computer
-->Details Display Dialog.vi	0,0000	0,0000	0,0000	0	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,00k	0,00k	0,00k	0	0	0		My Computer
-->Error Code Database.vi	0,0000	0,0000	0,0000	1	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	3,39k	3,39k	3,39k	2	2	2		My Computer
-->Format Message String.vi	0,0000	0,0000	0,0000	1	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	8,33k	8,33k	8,33k	21	21	21		My Computer
-->GetRTHostConnectedProp.vi	0,0000	0,0000	0,0000	1	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	2,86k	2,86k	2,86k	0	0	0		My Computer
-->Not Found Dialog.vi	0,0000	0,0000	0,0000	0	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,00k	0,00k	0,00k	0	0	0		My Computer
-->Set String Value.vi	0,0000	0,0000	0,0000	0	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,00k	0,00k	0,00k	0	0	0		My Computer
-->Trim Whitespace.vi	0,0000	0,0000	0,0000	3	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	3,55k	3,55k	3,55k	4	4	4		My Computer
General Error Handler.vi	0,0000	0,0000	0,0000	1	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	13,48k	13,48k	13,48k	4	4	4		My Computer
-->General Error Handler Core CORE.vi	0,0000	0,0000	0,0000	1	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	40,53k	40,53k	40,53k	62	62	62		My Computer
Get String Text Bounds.vi	0,0000	0,0000	0,0000	0	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,00k	0,00k	0,00k	0	0	0		My Computer
Get System Directory.vi	0,0000	0,0000	0,0000	1	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	3,95k	3,95k	3,95k	9	9	9		My Computer
Get Text Rect.vi	0,0000	0,0000	0,0000	36	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	6,45k	6,45k	6,45k	2	2	2		My Computer
GetHelpDir.vi	0,0000	0,0000	0,0000	0	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,00k	0,00k	0,00k	0	0	0		My Computer
GetRTHostConnectedProp.vi	0,0000	0,0000	0,0000	1	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	2,86k	2,86k	2,86k	0	0	0		My Computer
HW_Stop_acq_and_close_VISA.vi	0,0000	0,0000	0,0000	1	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	6,40k	6,40k	6,40k	10	10	10		My Computer
Hilite Color.vi	0,0000	0,0000	0,0000	36	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	4,32k	4,32k	4,32k	0	0	0		My Computer
Longest Line Length in Pixels.vi	0,0000	0,0000	0,0000	0	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,00k	0,00k	0,00k	0	0	0		My Computer
-->Convert property node font to graphics font.vi	0,0000	0,0000	0,0000	0	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,00k	0,00k	0,00k	0	0	0		My Computer
-->Get Text Rect.vi	0,0000	0,0000	0,0000	0	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,00k	0,00k	0,00k	0	0	0		My Computer
MD5 F function__ogtk.vi	0,0000	0,0000	0,0000	0	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,00k	0,00k	0,00k	0	0	0		My Computer
MD5 FGHI functions__ogtk.vi	0,0000	0,0000	0,0000	0	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,00k	0,00k	0,00k	0	0	0		My Computer
-->MD5 F function__ogtk.vi	0,0000	0,0000	0,0000	0	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,00k	0,00k	0,00k	0	0	0		My Computer
-->MD5 G function__ogtk.vi	0,0000	0,0000	0,0000	0	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,00k	0,00k	0,00k	0	0	0		My Computer
-->MD5 H function__ogtk.vi	0,0000	0,0000	0,0000	0	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,00k	0,00k	0,00k	0	0	0		My Computer
-->MD5 I function__ogtk.vi	0,0000	0,0000	0,0000	0	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,00k	0,00k	0,00k	0	0	0		My Computer
MD5 G function__ogtk.vi	0,0000	0,0000	0,0000	0	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,00k	0,00k	0,00k	0	0	0		My Computer
MD5 H function__ogtk.vi	0,0000	0,0000	0,0000	0	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,00k	0,00k	0,00k	0	0	0		My Computer
MD5 I function__ogtk.vi	0,0000	0,0000	0,0000	0	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,00k	0,00k	0,00k	0	0	0		My Computer
MD5 Message Digest (Binary String)__ogtk.vi	0,0000	0,0000	0,0000	0	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,00k	0,00k	0,00k	0	0	0		My Computer
-->MD5 FGHI functions__ogtk.vi	0,0000	0,0000	0,0000	0	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,00k	0,00k	0,00k	0	0	0		My Computer
-->MD5 Padding__ogtk.vi	0,0000	0,0000	0,0000	0	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,00k	0,00k	0,00k	0	0	0		My Computer
-->MD5 ti__ogtk.vi	0,0000	0,0000	0,0000	0	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,00k	0,00k	0,00k	0	0	0		My Computer
MD5 Message Digest (Hexadecimal String)__ogtk.vi	0,0000	0,0000	0,0000	0	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,00k	0,00k	0,00k	0	0	0		My Computer
-->MD5 Message Digest (Binary String)__ogtk.vi	0,0000	0,0000	0,0000	0	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,00k	0,00k	0,00k	0	0	0		My Computer
MD5 Padding__ogtk.vi	0,0000	0,0000	0,0000	0	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,00k	0,00k	0,00k	0	0	0		My Computer
-->MD5 Unrecoverable character padding__ogtk.vi	0,0000	0,0000	0,0000	0	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,00k	0,00k	0,00k	0	0	0		My Computer
MD5 Unrecoverable character padding__ogtk.vi	0,0000	0,0000	0,0000	0	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,00k	0,00k	0,00k	0	0	0		My Computer
MD5 ti__ogtk.vi	0,0000	0,0000	0,0000	0	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,00k	0,00k	0,00k	0	0	0		My Computer
NI_FileType.lvlib:Get File Type.vi	0,0000	0,0000	0,0000	1	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	7,14k	7,14k	7,14k	10	10	10	NI_FileType.lvlib	My Computer
-->Error Cluster From Error Code.vi	0,0000	0,0000	0,0000	1	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	3,81k	3,81k	3,81k	14	14	14		My Computer
NI_FileType.lvlib:Is File an LLB.vi	0,0000	0,0000	0,0000	0	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,00k	0,00k	0,00k	0	0	0	NI_FileType.lvlib	My Computer
-->NI_FileType.lvlib:Get File Type.vi	0,0000	0,0000	0,0000	0	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,00k	0,00k	0,00k	0	0	0	NI_FileType.lvlib	My Computer
NI_LVConfig.lvlib:Add Key.vi	0,0000	0,0000	0,0000	17	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	12,08k	11,60k	12,76k	26	15	53	NI_LVConfig.lvlib	My Computer
-->NI_LVConfig.lvlib:Get Key.vi	0,0000	0,0000	0,0000	16	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	6,22k	6,19k	6,24k	4	4	4	NI_LVConfig.lvlib	My Computer
-->NI_LVConfig.lvlib:Get Section.vi	0,0000	0,0000	0,0000	17	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	5,30k	5,30k	5,32k	11	11	11	NI_LVConfig.lvlib	My Computer
-->NI_LVConfig.lvlib:Typecast Queue to Refnum.vi	0,0000	0,0000	0,0000	17	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	3,21k	3,21k	3,21k	0	0	0	NI_LVConfig.lvlib	My Computer
-->NI_LVConfig.lvlib:Typecast Refnum to Queue.vi	0,0000	0,0000	0,0000	17	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	3,21k	3,21k	3,21k	0	0	0	NI_LVConfig.lvlib	My Computer
-->Space Constant.vi	0,0000	0,0000	0,0000	0	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,00k	0,00k	0,00k	0	0	0		My Computer
NI_LVConfig.lvlib:Add Quotes.vi	0,0000	0,0000	0,0000	2	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	4,04k	4,04k	4,04k	1	1	1	NI_LVConfig.lvlib	My Computer
NI_LVConfig.lvlib:Close Config Data.vi	0,0000	0,0000	0,0000	2	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	7,70k	7,47k	7,94k	6	6	6	NI_LVConfig.lvlib	My Computer
-->Clear Errors.vi	0,0000	0,0000	0,0000	0	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,00k	0,00k	0,00k	0	0	0		My Computer
-->NI_LVConfig.lvlib:Get File Path.vi	0,0000	0,0000	0,0000	2	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	8,98k	8,65k	9,31k	52	42	63	NI_LVConfig.lvlib	My Computer
-->NI_LVConfig.lvlib:Save Config File.vi	0,0000	0,0000	0,0000	2	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	7,16k	6,86k	7,46k	13	13	13	NI_LVConfig.lvlib	My Computer
-->NI_LVConfig.lvlib:Typecast Refnum to Queue.vi	0,0000	0,0000	0,0000	2	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	3,21k	3,21k	3,21k	0	0	0	NI_LVConfig.lvlib	My Computer
NI_LVConfig.lvlib:Config to String.vi	0,0000	0,0000	0,0000	2	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	8,12k	8,05k	8,19k	24	24	25	NI_LVConfig.lvlib	My Computer
-->8.6 compatible ?	0,0000	0,0000	0,0000	0	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,00k	0,00k	0,00k	0	0	0		My Computer
NI_LVConfig.lvlib:Escape String.vi	0,0000	0,0000	0,0000	2	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	4,17k	4,15k	4,18k	3	3	3	NI_LVConfig.lvlib	My Computer
NI_LVConfig.lvlib:Get File Path.vi	0,0000	0,0000	0,0000	2	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	8,98k	8,65k	9,31k	52	42	63	NI_LVConfig.lvlib	My Computer
-->Check if File or Folder Exists.vi	0,0000	0,0000	0,0000	2	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	6,96k	6,94k	6,98k	17	17	18		My Computer
NI_LVConfig.lvlib:Get Key Names.vi	0,0000	0,0000	0,0000	1	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	7,80k	7,80k	7,80k	6	6	6	NI_LVConfig.lvlib	My Computer
-->NI_LVConfig.lvlib:Get Section.vi	0,0000	0,0000	0,0000	1	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	5,30k	5,30k	5,30k	11	11	11	NI_LVConfig.lvlib	My Computer
-->NI_LVConfig.lvlib:Typecast Refnum to Queue.vi	0,0000	0,0000	0,0000	1	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	3,21k	3,21k	3,21k	0	0	0	NI_LVConfig.lvlib	My Computer
NI_LVConfig.lvlib:Get Key.vi	0,0000	0,0000	0,0000	26	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	6,22k	6,19k	6,24k	4	4	4	NI_LVConfig.lvlib	My Computer
-->Trim Whitespace.vi	0,0000	0,0000	0,0000	26	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	3,55k	3,55k	3,55k	4	4	4		My Computer
NI_LVConfig.lvlib:Get Section.vi	0,0000	0,0000	0,0000	28	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	5,30k	5,30k	5,32k	11	11	11	NI_LVConfig.lvlib	My Computer
NI_LVConfig.lvlib:Load.vi	0,0000	0,0000	0,0000	2	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	9,79k	9,79k	9,79k	8	8	8	NI_LVConfig.lvlib	My Computer
-->Check if File or Folder Exists.vi	0,0000	0,0000	0,0000	2	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	7,07k	6,94k	7,20k	18	17	19		My Computer
-->Error Cluster From Error Code.vi	0,0000	0,0000	0,0000	0	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,00k	0,00k	0,00k	0	0	0		My Computer
-->NI_LVConfig.lvlib:New Config to Queue.vi	0,0000	0,0000	0,0000	1	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	4,97k	4,97k	4,97k	2	2	2	NI_LVConfig.lvlib	My Computer
-->NI_LVConfig.lvlib:Parse Config to Queue.vi	0,0000	0,0000	0,0000	1	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	6,42k	6,42k	6,42k	2	2	2	NI_LVConfig.lvlib	My Computer
NI_LVConfig.lvlib:New Config to Queue.vi	0,0000	0,0000	0,0000	1	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	4,97k	4,97k	4,97k	2	2	2	NI_LVConfig.lvlib	My Computer
NI_LVConfig.lvlib:Open Config Data.vi	0,0000	0,0000	0,0000	2	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	6,39k	6,39k	6,39k	6	6	6	NI_LVConfig.lvlib	My Computer
-->8.6 compatible ?	0,0000	0,0000	0,0000	0	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,00k	0,00k	0,00k	0	0	0		My Computer
-->NI_LVConfig.lvlib:Load.vi	0,0000	0,0000	0,0000	2	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	9,79k	9,79k	9,79k	8	8	8	NI_LVConfig.lvlib	My Computer
-->NI_LVConfig.lvlib:Typecast Queue to Refnum.vi	0,0000	0,0000	0,0000	2	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	3,21k	3,21k	3,21k	0	0	0	NI_LVConfig.lvlib	My Computer
NI_LVConfig.lvlib:Parse Config to Queue.vi	0,0000	0,0000	0,0000	1	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	6,42k	6,42k	6,42k	2	2	2	NI_LVConfig.lvlib	My Computer
-->NI_LVConfig.lvlib:String to Config.vi	0,0000	0,0000	0,0000	1	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	10,93k	10,93k	10,93k	72	72	72	NI_LVConfig.lvlib	My Computer
NI_LVConfig.lvlib:Parse Key Value Pair.vi	0,0000	0,0000	0,0000	13	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	6,35k	6,33k	6,38k	6	6	7	NI_LVConfig.lvlib	My Computer
-->NI_LVConfig.lvlib:Remove Quotes.vi	0,0000	0,0000	0,0000	13	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	5,31k	5,31k	5,37k	11	11	11	NI_LVConfig.lvlib	My Computer
-->Trim Whitespace.vi	0,0000	0,0000	0,0000	26	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	3,55k	3,55k	3,55k	4	4	4		My Computer
NI_LVConfig.lvlib:Read Key (Boolean).vi	0,0000	0,0000	0,0000	1	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	6,93k	6,93k	6,93k	4	4	4	NI_LVConfig.lvlib	My Computer
-->NI_LVConfig.lvlib:Read Value Without Comment.vi	0,0000	0,0000	0,0000	1	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	9,56k	9,56k	9,56k	22	22	22	NI_LVConfig.lvlib	My Computer
NI_LVConfig.lvlib:Read Key (I32).vi	0,0000	0,0000	0,0000	7	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	6,64k	6,64k	6,64k	2	2	2	NI_LVConfig.lvlib	My Computer
-->NI_LVConfig.lvlib:Read Value Without Comment.vi	0,0000	0,0000	0,0000	7	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	9,56k	9,56k	9,56k	22	22	22	NI_LVConfig.lvlib	My Computer
NI_LVConfig.lvlib:Read Key (String).vi	0,0000	0,0000	0,0000	1	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	10,48k	10,48k	10,48k	12	12	12	NI_LVConfig.lvlib	My Computer
-->NI_LVConfig.lvlib:Get Key.vi	0,0000	0,0000	0,0000	1	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	6,21k	6,21k	6,21k	4	4	4	NI_LVConfig.lvlib	My Computer
-->NI_LVConfig.lvlib:Get Section.vi	0,0000	0,0000	0,0000	1	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	5,30k	5,30k	5,30k	11	11	11	NI_LVConfig.lvlib	My Computer
-->NI_LVConfig.lvlib:Remove Quotes.vi	0,0000	0,0000	0,0000	1	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	5,33k	5,33k	5,33k	11	11	11	NI_LVConfig.lvlib	My Computer
-->NI_LVConfig.lvlib:Typecast Refnum to Queue.vi	0,0000	0,0000	0,0000	1	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	3,21k	3,21k	3,21k	0	0	0	NI_LVConfig.lvlib	My Computer
-->NI_LVConfig.lvlib:Unescape String.vi	0,0000	0,0000	0,0000	1	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	5,47k	5,47k	5,47k	8	8	8	NI_LVConfig.lvlib	My Computer
NI_LVConfig.lvlib:Read Key (U32).vi	0,0000	0,0000	0,0000	1	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	6,64k	6,64k	6,64k	2	2	2	NI_LVConfig.lvlib	My Computer
-->NI_LVConfig.lvlib:Read Value Without Comment.vi	0,0000	0,0000	0,0000	1	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	9,28k	9,28k	9,28k	14	14	14	NI_LVConfig.lvlib	My Computer
NI_LVConfig.lvlib:Read Value Without Comment.vi	0,0000	0,0000	0,0000	9	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	9,52k	9,28k	9,56k	19	14	22	NI_LVConfig.lvlib	My Computer
-->NI_LVConfig.lvlib:Get Key.vi	0,0000	0,0000	0,0000	9	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	6,22k	6,19k	6,24k	4	4	4	NI_LVConfig.lvlib	My Computer
-->NI_LVConfig.lvlib:Get Section.vi	0,0000	0,0000	0,0000	9	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	5,30k	5,30k	5,30k	11	11	11	NI_LVConfig.lvlib	My Computer
-->NI_LVConfig.lvlib:Remove Quotes.vi	0,0000	0,0000	0,0000	9	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	5,31k	5,31k	5,31k	11	11	11	NI_LVConfig.lvlib	My Computer
-->NI_LVConfig.lvlib:Typecast Refnum to Queue.vi	0,0000	0,0000	0,0000	9	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	3,21k	3,21k	3,21k	0	0	0	NI_LVConfig.lvlib	My Computer
NI_LVConfig.lvlib:Remove Quotes.vi	0,0000	0,0000	0,0000	23	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	5,31k	5,31k	5,37k	11	11	11	NI_LVConfig.lvlib	My Computer
NI_LVConfig.lvlib:Save Config File.vi	0,0000	0,0000	0,0000	2	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	7,16k	6,86k	7,46k	13	13	13	NI_LVConfig.lvlib	My Computer
-->NI_LVConfig.lvlib:Config to String.vi	0,0000	0,0000	0,0000	2	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	8,12k	8,05k	8,19k	24	24	25	NI_LVConfig.lvlib	My Computer
NI_LVConfig.lvlib:String to Config.vi	0,0000	0,0000	0,0000	1	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	10,93k	10,93k	10,93k	72	72	72	NI_LVConfig.lvlib	My Computer
-->NI_LVConfig.lvlib:Parse Key Value Pair.vi	0,0000	0,0000	0,0000	13	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	6,35k	6,33k	6,38k	6	6	7	NI_LVConfig.lvlib	My Computer
NI_LVConfig.lvlib:Typecast Queue to Refnum.vi	0,0000	0,0000	0,0000	19	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	3,21k	3,21k	3,21k	0	0	0	NI_LVConfig.lvlib	My Computer
NI_LVConfig.lvlib:Typecast Refnum to Queue.vi	0,0000	0,0000	0,0000	30	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	3,21k	3,21k	3,21k	0	0	0	NI_LVConfig.lvlib	My Computer
NI_LVConfig.lvlib:Unescape String.vi	0,0000	0,0000	0,0000	1	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	5,47k	5,47k	5,47k	8	8	8	NI_LVConfig.lvlib	My Computer
NI_LVConfig.lvlib:Write Key (Boolean).vi	0,0000	0,0000	0,0000	1	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	6,28k	6,28k	6,28k	1	1	1	NI_LVConfig.lvlib	My Computer
-->NI_LVConfig.lvlib:Add Key.vi	0,0000	0,0000	0,0000	1	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	11,93k	11,93k	11,93k	21	21	21	NI_LVConfig.lvlib	My Computer
NI_LVConfig.lvlib:Write Key (I32).vi	0,0000	0,0000	0,0000	14	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	6,03k	6,02k	6,05k	1	1	1	NI_LVConfig.lvlib	My Computer
-->NI_LVConfig.lvlib:Add Key.vi	0,0000	0,0000	0,0000	14	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	12,14k	11,90k	12,76k	28	21	53	NI_LVConfig.lvlib	My Computer
NI_LVConfig.lvlib:Write Key (String).vi	0,0000	0,0000	0,0000	2	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	7,61k	7,60k	7,63k	1	1	1	NI_LVConfig.lvlib	My Computer
